"";"MSETrain";"MSEValid"
"1";0,0588106940774357;0,0607201789407169
"2";0,0581433165307138;0,0606644125545726
"3";0,058098892511106;0,0606487274169922
"4";0,0580833285462623;0,0606413448558134
"5";0,0580754538143382;0,0606365518008961
"6";0,0580700982785692;0,0606324453914867
"7";0,0580650778377757;0,0606277690214269
"8";0,0580595248353248;0,0606213109633502
"9";0,0580516860064338;0,0606111952837776
"10";0,0580385813993566;0,060592503267176
"11";0,0580128808115043;0,0605527002671186
"12";0,057948470770144;0,0604358673095703
"13";0,0576506251914828;0,0595792388916016
"14";0,0436051492130055;0,0225933321784524
"15";0,0248443932626762;0,0205812633738798
"16";0,0232869615741805;0,0196704303517061
"17";0,0224425162521063;0,0190646788653205
"18";0,0218749491373698;0,0186428833007812
"19";0,0214634928983801;0,0183457823360668
"20";0,0211529226864085;0,0181307377534754
"21";0,0209095809038948;0,0179683494567871
"22";0,0207121351653454;0,0178404022665585
"23";0,0205473806343827;0,0177361241508933
"24";0,0204070985083487;0,0176489942214068
"25";0,0202852884928385;0,0175747142118566
"26";0,0201782196643306;0,0175103198780733
"27";0,0200830257640165;0,0174537456736845
"28";0,0199975885129442;0,0174034444023581
"29";0,0199201471665326;0,0173581818973317
"30";0,0198496156580308;0,0173170157039867
"31";0,0197848959530101;0,0172792042002958
"32";0,0197250949635225;0,0172440023983226
"33";0,0196695155723422;0,0172109042896944
"34";0,019617468142042;0,0171792871811811
"35";0,0195684021594478;0,0171486574060777
"36";0,019521858364928;0,0171185347613166
"37";0,0194772219190411;0,0170882965536679
"38";0,0194341382793352;0,0170574704338523
"39";0,0193921466902191;0,0170254606359145
"40";0,0193505440506281;0,0169918520310346
"41";0,0193092824898514;0,0169562496858485
"42";0,0192680418725107;0,0169183854495778
"43";0,019226567885455;0,0168782694199506
"44";0,0191849278468712;0,0168360698924345
"45";0,0191432952880859;0,0167921986299403
"46";0,0191018631879021;0,0167470943226534
"47";0,0190608798756319;0,0167014290304745
"48";0,0190207387886795;0,0166557154935949
"49";0,0189816897523169;0,0166104462567498
"50";0,0189436729281556;0,0165661037669462
"51";0,0189069560929841;0,0165228866128361
"52";0,0188714973599303;0,0164810203103458
"53";0,0188371905158548;0,0164405789094813
"54";0,0188039383233762;0,0164015433367561
